 	 	0	1	 	 	1
rz	rzś	0	2	S	rz#S	1
rz	rzt	0	2	S	rz#S	1
rz	srz	1	2	S	rz#S	1
rz	szrz	2	2	S	rz#S	1
rz	śrz	1	2	S	rz#S	1
rz	trz	1	2	S	rz#S	1
s	s	0	1	s	s#s	1
s	sb	0	1	z	s#z	1
s	sci	0	1	s'	s#s'	1
s	sczy	0	1	S	s#S	1
s	sć	0	1	s'	s#s'	1
s	sd	0	1	z	s#z	1
s	sdrz	0	1	Z	s#Z	1
s	sdzi	0	1	z'	s#z'	1
s	sdź	0	1	Z	s#Z	1
s	sdź	0	1	z'	s#z'	1
s	sg	0	1	z	s#z	1
s	ssi	0	1	s'	s#s'	1
s	sszy	0	1	S	s#S	1
s	sś	0	1	s'	s#s'	1
s	strzy	0	1	S	s#S	1
s	szi	0	1	z'	s#z'	1
s	sź	0	1	z'	s#z'	1
s	sż	0	1	z	s#z	1
s	sż	0	1	Z	s#Z	1
si	si	0	2	s' i	si#s'i	1
si	sia	0	2	s'	si#s'	1
si	się	0	2	s'	si#s'	1
si	sii	0	2	s'	si#s'	1
si	sio	0	2	s'	si#s'	1
si	sió	0	2	s'	si#s'	1
si	siu	0	2	s'	si#s'	1
si	siy	0	2	s'	si#s'	1
sz	sz	0	2	S	sz#S	1
sz	szb	0	2	Z	sz#Z	1
sz	szd	0	2	Z	sz#Z	1
sz	szg	0	2	Z	sz#Z	1
sz	szż	0	2	Z	sz#Z	1
ś	ś	0	1	s'	ś#s'	1
ś	śb	0	1	z'	ś#z'	1
ś	śd	0	1	z'	ś#z'	1
ś	śg	0	1	z'	ś#z'	1
ś	śz	0	1	z'	ś#z'	1
ś	śź	0	1	z'	ś#z'	1
ś	śż	0	1	z'	ś#z'	1
t	t	0	1	t	t#t	1
t	tb	0	1	d	t#d	1
t	tc	0	1	ts	t#ts	1
t	tcz	0	1	tS	t#tS	1
t	td	0	1	d	t#d	1
t	tdrz	0	1	dZ	t#dZ	1
t	tdz	0	1	dz	t#dz	1
t	tdż	0	1	dZ	t#dZ	1
t	tg	0	1	d	t#d	1
t	trz	0	1	tS	t#tS	1
t	ts	0	1	ts	t#ts	1
t	tsz	0	1	tS	t#tS	1
t	ttrz	0	1	tS	t#tS	1
t	tz	0	1	d	t#d	1
t	tz	0	1	dz	t#dz	1
t	tź	0	1	d	t#d	1
t	tż	0	1	d	t#d	1
t	tż	0	1	dZ	t#dZ	1
ti	tia	0	2	t j	ti#tj	1
ti	tie	0	2	t j	ti#tj	1
ti	tii	0	2	t j	ti#tj	1
ti	tio	0	2	t j	ti#tj	1
ti	tió	0	2	t j	ti#tj	1
ti	tiu	0	2	t j	ti#tj	1
ti	tiy	0	2	t j	ti#tj	1
u	u	0	1	u	u#u	1
w	 w c	1	1	f	w#f	1
w	 w ć	1	1	f	w#f	1
w	 w f	1	1	f	w#f	1
w	 w h	1	1	f	w#f	1
w	 w k	1	1	f	w#f	1
w	 w p	1	1	f	w#f	1
w	 w s	1	1	f	w#f	1
w	 w ś	1	1	f	w#f	1
w	 w t	1	1	f	w#f	1
w	cw	1	1	f	w#f	1
w	czw	2	1	f	w#f	1
w	ćw	1	1	f	w#f	1
w	fw	1	1	f	w#f	1
w	hw	1	1	f	w#f	1
w	kw	1	1	f	w#f	1
w	pw	1	1	f	w#f	1
w	sw	1	1	f	w#f	1
w	szw	2	1	f	w#f	1
w	św	1	1	f	w#f	1
w	tw	1	1	f	w#f	1
w	w	0	1	v	w#v	1
w	w 	0	1	f	w#f	1
w	wc	0	1	f	w#f	1
w	wć	0	1	f	w#f	1
w	wf	0	1	f	w#f	1
w	wh	0	1	f	w#f	1
w	wk	0	1	f	w#f	1
